Sl.No.,India/State/Union Territory,Total - 2001,Rural - 2001,Urban - 2001,Total - 2011,Rural - 2011,Urban - 2011,% of Urban Population to Total Population - 2001,% of Urban Population to Total Population - 2011,Decennial Growth Rate of Population (percent) - Total - 1991-2001,Decennial Growth Rate of Population (percent) - Rural - 1991-2001,Decennial Growth Rate of Population (percent) - Urban - 1991-2001,Decennial Growth Rate of Population (percent) - Total - 2001-2011,Decennial Growth Rate of Population (percent) - Rural - 2001-2011,Decennial Growth Rate of Population (percent) - Urban - 2001-2011
India,India,1028737436,742617718,286119718,1210854977,833748852,377106125,27.8,31.14,21.5,17.9,31.2,17.7,12.3,31.8
1,Andhra Pradesh,76210007,55401067,20808940,84580777,56361702,28219075,27.3,33.4,14.6,13.6,14.6,11,1.7,35.6
2,Arunachal Pradesh,1097968,870087,227881,1383727,1066358,317369,20.8,22.9,27,15.2,10.3,26,22.6,39.3
3,Assam,26655528,23216288,3439240,31205576,26807034,4398542,12.9,14.1,18.9,16.7,36.2,17.1,15.5,27.9
4,Bihar,82998509,74316709,8681800,104099452,92341436,11758016,10.5,11.3,28.6,28.3,29.3,25.4,24.3,35.4
5,Chhattisgarh,20833803,16648056,4185747,25545198,19607961,5937237,20.1,23.2,18.3,NA,NA,22.6,17.8,41.8
6,Delhi,13850507,944727,12905780,16787941,419042,16368899,93.2,97.5,47,1.5,51.3,21.2,-55.6,26.8
7,Goa,1347668,677091,670577,1458545,551731,906814,49.8,62.2,15.2,-2.2,39.4,8.2,-18.5,35.2
8,Gujarat,50671017,31740767,18930250,60439692,34694609,25745083,37.4,42.6,22.7,17.1,32.7,19.3,9.3,36
9,Haryana,21144564,15029260,6115304,25351462,16509359,8842103,28.9,34.9,28.4,20.6,50.8,19.9,9.8,44.6
10,Himachal Pradesh,6077900,5482319,595581,6864602,6176050,688552,9.8,10,17.5,16.1,32.4,12.9,12.7,15.6
11,Jammu & Kashmir,10143700,7627062,2516638,12541302,9108060,3433242,24.8,27.4,29.4,25.6,40.7,23.6,19.4,36.4
12,Jharkhand,26945829,20952088,5993741,32988134,25055073,7933061,22.2,24,23.4,NA,NA,22.4,19.6,32.4
13,Karnataka,52850562,34889033,17961529,61095297,37469335,23625962,34,38.7,17.5,12.1,28.8,15.6,7.4,31.5
14,Kerala,31841374,23574449,8266925,33406061,17471135,15934926,26,47.7,9.4,10.1,7.6,4.9,-25.9,92.8
15,Madhya Pradesh,60348023,44380878,15967145,72626809,52557404,20069405,26.5,27.6,24.3,22,31.2,20.3,18.4,25.7
16,Maharastra,96878627,55777647,41100980,112374333,61556074,50818259,42.4,45.2,22.7,15.2,34.3,16,10.4,23.6
17,Manipur,2293896,1717899,575997,2855794,2021640,834154,25.1,29.2,24.9,36.6,12.8,24.5,17.7,44.8
18,Meghalaya,2318822,1864711,454111,2966889,2371439,595450,19.6,20.1,30.7,28.3,37.1,27.9,27.2,31.1
19,Mizoram,888573,447567,441006,1097206,525435,571771,49.6,52.1,28.8,21,38.7,23.5,17.4,29.7
20,Nagaland,1990036,1647249,342787,1978502,1407536,570966,17.2,28.9,64.5,63.4,69.4,-0.6,-14.6,66.6
21,Odisha,36804660,31287422,5517238,41974218,34970562,7003656,15,16.7,16.3,13.8,29.8,14,11.8,26.9
22,Punjab,24358999,16096488,8262511,27743338,17344192,10399146,33.9,37.5,20.1,12.3,37.6,13.9,7.8,25.9
23,Rajasthan,56507188,43292813,13214375,68548437,51500352,17048085,23.4,24.9,28.4,27.5,31.2,21.3,19,29
24,Sikkim,540851,480981,59870,610577,456999,153578,11.1,25.2,33.1,30.1,62.1,12.9,-5,156.5
25,Tamil Nadu,62405679,34921681,27483998,72147030,37229590,34917440,44,48.4,11.7,-5.2,42.8,15.6,6.6,27
26,Tripura,3199203,2653453,545750,3673917,2712464,961453,17.1,26.2,16,13.4,28.8,14.8,2.2,76.2
27,Uttar Pradesh,166197921,131658339,34539582,199812341,155317278,44495063,20.8,22.3,25.9,24.1,32.9,20.2,18,28.8
28,Uttarakhand,8489349,6310275,2179074,10086292,7036954,3049338,25.7,30.2,20.4,NA,NA,18.8,11.5,39.9
29,West Bengal,80176197,57748946,22427251,91276115,62183113,29093002,28,31.9,17.8,16.9,20.2,13.8,7.7,29.7
30,Andaman & Nicobar Islands,356152,239954,116198,380581,237093,143488,32.6,37.7,26.9,16.6,26.9,6.9,-1.2,23.5
31,Chandigarh,900635,92120,808515,1055450,28991,1026459,89.8,97.3,40.3,39.2,40.5,17.2,-68.5,27
32,D&N Haveli,220490,170027,50463,343709,183114,160595,22.9,46.7,59.2,34.1,330.3,55.9,7.7,218.2
33,Daman & Diu,158204,100856,57348,243247,60396,182851,36.2,75.2,55.7,86.4,20.6,53.8,-40.1,218.8
34,Lakshadweep,60650,33683,26967,64473,14141,50332,44.5,78.1,17.3,48.9,-7.4,6.3,-58,86.6
35,Puducherry,974345,325726,648619,1247953,395200,852753,66.6,68.3,20.6,12,25.4,28.1,21.3,31.5
