Sl. No,State/UT,2011-2012
1,Andhra Pradesh,2.1
2,Arunachal Pradesh,2.1
3,Assam,4.7
4,Bihar,3.5
5,Chhattisgarh,1.5
6,Delhi,3.7
7,Goa,4.8
8,Gujarat,0.5
9,Haryana,2.8
10,Himachal Pradesh,1.3
11,Jammu and Kashmir,3.5
12,Jharkhand,2.5
13,Karnataka,1.6
14,Kerala,6.7
15,Madhya Pradesh,1
16,Maharashtra,1.4
17,Manipur,3.6
18,Meghalaya,0.7
19,Mizoram,3.8
20,Nagaland,17.8
21,Orissa,2.4
22,Punjab,2.2
23,Rajasthan,1.2
24,Sikkim*,1.1
25,Tamil Nadu,2.2
26,Tripura,12.8
27,Uttarakhand,3.2
28,Uttar Pradesh,1.5
29,West Bengal,3.2
30,Andaman and Nicobar,6.5
31,Chandigarh,5.9
32,Dadra and Nagar Haveli,0
33,Daman and Diu,0.2
34,Lakshadweep,13.9
35,Puducherry,2.2
All India,All India,2.3
